Id_cliente;venta_total;costo_unitario;cant_unidades;filial_id;dia_id;id;nota;atencion_amable;nivel_2;rango_edad;codigo_del_vendedor;comuna;region;dia_respuesta
a1;5899;3847;1;257;2022-07-26 00:00:00.000000;752694;1;2;Locales;De 46 a 60 años;1179;lota;VIII Biobio;27-07-2022
a2;15097;7580;1;476;2022-06-03 00:00:00.000000;720658;9;8;Locales;De 46 a 60 años;900;concon;V Valparaiso;05-06-2022
a2;72572;44773;1;476;2022-05-25 00:00:00.000000;714854;10;10;Locales;De 46 a 60 años;4466;concon;V Valparaiso;27-05-2022
a3;9963;4275;1;416;2023-01-30 00:00:00.000000;850997;10;10;Locales;De 46 a 60 años;12799;calama;II Antofagasta;01-02-2023
a4;24989;17796;1;289;2021-10-17 00:00:00.000000;601663;10;10;Locales;De 46 a 60 años;12387;concepcion;VIII Biobio;18-10-2021
a4;38202;25787;1;341;2021-09-29 00:00:00.000000;591727;10;9;Locales;De 46 a 60 años;1515;concepcion;VIII Biobio;30-09-2021
a5;20909;11594;1;476;2023-03-13 00:00:00.000000;874764;10;10;Locales;De 46 a 60 años;18744;concon;V Valparaiso;18-03-2023
a5;9461;54636;1;476;2022-08-01 00:00:00.000000;756192;7;10;Locales;De 46 a 60 años;21425;concon;V Valparaiso;02-08-2022
a6;4989;2418;1;381;2021-07-06 00:00:00.000000;550637;10;10;Locales;De 46 a 60 años;12775;viña del mar;V Valparaiso;11-07-2021
a6;42218;27999;1;595;2022-04-09 00:00:00.000000;691748;8;10;Locales;De 46 a 60 años;8586;quilpue;V Valparaiso;14-04-2022
a7;15519;9300;1;398;2021-12-20 00:00:00.000000;634418;10;10;Locales;De 46 a 60 años;5213;chiguayante;VIII Biobio;22-12-2021
a7;8839;3411;1;398;2021-01-08 00:00:00.000000;464172;10;10;Locales;De 46 a 60 años;4909;chiguayante;VIII Biobio;09-01-2021
